business_name,contact_page_url,main_public_phone,general_public_email
Armstrong Return-It Depot,https://www.return-it.ca/contact/,250 546 2466,brandregistry@returnit.ca
Armstrong Spallumcheen Cemetery,https://www.cityofarmstrong.bc.ca/contact/,250 546 3013,mail@spallumcheentwp.bc.ca
Armstrong Spallumcheen Environmental Trust,https://mycharityfund.ca/charity/62113/armstrong-spallumcheen,250 546 6377,info@mycharityfund.ca
Armstrong Spallumcheen Trails Society,https://www.astrailssociety.com/about/,250 241 2255,astrailssociety@gmail.com
Armstrong Veterinary Clinic,https://armstrongveterinaryclinic.com/,250-546-9506,reception@armstrongveterinaryclinic.com
Armstrong Wine And Brew Ltd,http://armstrongwineandbrew.com/,250 546 6954,info@armstrongwineandbrew.com
Ashton Oasis Farm,https://canic.ws/,(250) 838-2655,ashton.oasis@gmail.com
Askews Foods,https://www.askewsfoods.com/contact-us,250 546 3039,info@askewsfoods.com
Aspect Dental,https://aspect.dental/,(250) 545-4466,reception@aspect.dental
Associated Environmental,https://www.ae.ca/contact/,,inquiries@ae.ca
B.Weightman Construction,https://www.weightmanconstruction.com/contact-us,1-931-246-0910,bweightman@outlook.com
Back Nine Indoor Golf,https://backninegolf.ca/contact?_b9redir=1,236-361-7888,infoca@thebackninegolf.com
Baird Brothers,https://www.bairdbros.ca/,(250) 838-6430,bairdbros.ca@gmail.com
Barrique & Java,https://www.sparklinghill.com/contact/,250-275-1556,reservations@sparklinghill.com
BDC Vernon,https://www.cdap-vernon.ca/,,info@cdap-vernon.ca
Beach Radio 107.5,https://radio.menu/,(250) 545-2141,contact@radio.menu
Bean To Cup,https://www.beantocup.com/,250-503-2222,beantocup@gmail.com
Bear Valley Highlands,https://bearvalleyhighlands.com/,778-373-5684,info@bearvalleyhighlands.com
Beaumont Mortgage Group,https://dreyergroup.ca/contact,+1-604-536-3802,neil@neilbeaumont.ca
Beaver Lake Mountain Resort,https://www.beaverlakeresort.com/,250-762-2225,info@beaverlakeresort.com
Beem Credit Union,https://beemcreditunion.ca/contact,(250) 545-1234,info@gfcu.com
Bertelsen Plumbing,https://www.bertelsenplumbing.com/contact/,(250) 542-4153,office@bertelsenplumbing.com
Bighorn Moving and Storage,https://www.bighornmoving.ca/,+12507661966,info@bighornmoving.ca
Black Fox,https://www.vagaro.com/en-ca/pro/contact,7782121973,support@vagaro.com
Black Isle Farms,https://www.castanet.net/contactus/,(250) 833-6459,letters@castanet.net
Blind Tiger Vineyards,https://blindtigervineyards.ca/,250-766-0622,hello@blindtigervineyards.ca
Bloom Salon,https://greencirclesalons.com/contact/,(250) 545-7800,info@greencirclesalons.com
Blue Grass Farm,https://bluegrassfarmbc.ca/,,hello@bluegrassfarmbc.ca
Bluegreen Architecture,https://www.bluegreenarchitecture.com/,7785064567,info@bluegreenarch.com
BNA Brewing,https://www.bnabrewing.com/bna-vernon,250-558-2635,info@bnabrewing.com
Boa Thong Thai Food Restaurant,https://boathong.ca/,(250) 542-1252,info@boathong.ca
Borrowman Electric,https://borrowman.ca/contact-us/,1-778-473-3004,sales@borrowman.ca
Bosman Accounting,https://www.bosmanaccounting.com/,(250) 542-2180,info@bosmanaccounting.com
Boys & Girls Club Okanagan),https://www.bgc.ca/contact-us,250 546 3465,office@bgc.ca
Bridlewood Riding Centre,https://bridlewoodriding.com/,2508620998,bridlewoodriding@gmail.com
Bright Angel Farm,http://www.brightangelfarm.com/,250-558-5552,brightangelfarm@gmail.com
Brown Mechanical Services,https://www.brown-mechanical.com/,(250) 545-4211,info@brown-mechanical.ca
Burr Fabrication,https://burrfabrication.com/contact/,250 549 0581,burrfabrication@gmail.com
Burton Tree Service,,(250) 833-8705,james@burtontree.ca
Cabbana Indian Bistro,https://www.cabbanaindianbistro.com/,(778) 943-2080,info@mysite.com
Cactus Club Cafe - Vernon,https://www.provenexpert.com/en-us/,(778) 506-2494,support@provenexpert.com
Cambium Cider Co,https://www.cambiumcider.com/,250-541-0655,hello@cambiumcider.com
Cambridge Building Products Ltd,https://centraltarp.ca/contact,(403) 354-1742,greg@cambridgebp.com
Camel's Hump Guest Ranch,,1-250-547-2207,camelshumpranch@gmail.com
Canadian 4X4,https://canadian4x4.ca/contact-us/,(250) 938-7007,cpzieman@gmail.com
Canadian Wildlife Museum & Gift Shop,https://canadianwildlifemuseum.com/,250-545-9740,info@canadianwildlifemuseum.com
CanHealth and Dental Plans Ltd,https://healthanddental.ca/,(250) 838-6848,casebrad@telus.net
Cardiff Miller Art Warehouse,https://cardiffmillerartwarehouse.ca/,,cmawenderby@gmail.com
Cardinal Vow Media,https://www.cardinalvow.com/,236 700 0808,hello@cardinalvow.com
Carousel Consignments,https://www.carousel-consignments.com/contact-us,(250) 542-2677,carouselconsignmentsokemos@gmail.com
Castle On The Mountain B&B,https://www.castleonthemountain.com/,250-542-4593,info@castleonthemountain.com
Caufields Engraving,https://caufieldsengraving.com/,(250) 542-6293,orders@caufieldsengraving.com
Cedar Solutions & Millworks,https://www.cedarsolutions.ca/contact-us,(250)838-0899,nic@cedarsolutions.ca
Cento wear,https://www.centowear.com/,(250) 542-5484,info@centowear.ca
Central Okanagan Economic Development Commission (COEDC),https://www.investkelowna.com/contact-us/,12504696280,info@investkelowna.com
Chapman Industries Ltd,https://chapmanindustries.ca/,250 549 2907,info@chapmanindustries.ca
Cheeky Tones,https://tanresponsibly.ca/#home-feedback,(250) 838-2120,cheekytonesltd@hotmail.com
Cherkowski Marsden LLP,https://cmlawyers.ca/,(250) 308-0338,info@cmlawyers.ca
City of Enderby,https://www.cityofenderby.com/,(250) 838-7230,info@cityofenderby.com
Clark Robinson Chartered Professional Accountants,https://www.clarkrobinson.com/,(250) 545-7264,info@clarkrobinson.com
Cobbler's Rack,https://cobblersrack.com/,,cobblersrack@gmail.com
CoCoMelon Learning,https://cocomelonlearning.com/,587-914-0425,admin@cocomelonlearning.com
Coldstream Mechanical,https://coldstreammech.com/,(250) 558-9134,info@coldstreammech.com
Comfort Suites,https://socialads.comfortsuiteskelowna.com/contact.html,18004246423,ccarlson@hotelequities.com
Community Appliance Parts & Service,https://geniers.com/,(778) 475-3004,info@geniers.com
Community Foundation of North Okanagan,https://www.cfno.org/contact,(250) 542-8677,info@cfno.org
Courtyard Gallery,https://courtyardgallery.ca,(778) 443-0529,info@courtyardgallery.ca
Courtyard Inn Vernon,https://courtyardinnvernon.ca/,(250) 549-1211,info@courtyardinnvernon.ca
Cozy Cabins Nature Resort,https://www.cozycabins.ca/contact/,1-250-547-6201,info@cozycabins.ca
Crave Massage,https://cravemassage.ca/,(250) 545-3600,cravemassagevernon@gmail.com
Creative Chaos Society,https://www.creativechaoscrafts.com/contact-us/,(250) 545-6963,info@creativechaoscrafts.com
Creative Trophies & Gifts,https://creativetrophies.ca/,250-860-1153,sales@creativetrophies.ca
Creekside Dynamic Health,https://www.creeksidevernon.ca/,(250) 545-7107,info@creeksidevernon.ca
Crepe Bistro,https://www.crepebistro.ca/,(778) 955-5075,info@crepebistro.ca
Cross Health,https://crosshealth.ca/,(250) 241-9671,crosshealthtcm@gmail.com
Crystal Flaman,https://crystalflaman.com/,(250) 215-2903,info@crystalflaman.com
Csek Creative,https://www.csekcreative.com/,250 862 8010,info@csekcreative.com
"CUPE 626, Vernon Civic Employees Union",https://626.cupe.ca/contact-us/,250-545-0446,president@cupelocal626.com
Cypress Guest House,https://cypressguesthouse.com/contact.html,250-503-2300,info@cypressguesthouse.com
Damini Physiotherapy & Sports Injury,https://www.daminiphysio.ca/,(250) 545-2335,info@daminiphysio.ca
Dan-Gare Drilling Ltd,https://www.dangaredrilling.ca/,250 546 3480,info@dangare.ca
Danley Carriage And Wheel,https://www.carriageassociationofamerica.com/contact-us/,250 546 9979,info@caaonline.com
Dave Kennedy Construction,https://rbkennedy.com/contact-us/contact-form-submitted/,250 546 8256,info@rbkennedy.com
De Thomas Wealth Management,https://www.dethomaswealthmanagement.com/contact,(236) 426-3111,info@dethomaswealth.com
Dee Lake Wilderness Resort,https://www.deelakeresort.ca/,778-738-0345,info@deelakeresort.ca
DEEM Health + Fitness,https://www.deemhealth.ca/,(250) 541-0411,info@deemhealth.ca
Del Rayo Haro Tax & Professional Services Corp,https://delrayotax.ca/,(604) 910-4900,info@delrayotax.ca
Designers Gallery 2025,https://okdg.ca,(250) 542-5955,info@okdg.ca
Destination Silver Star,https://members.destinationsilverstar.com/,(250) 275-4942,info@destinationsilverstar.com
DFS Executive Resources Inc,https://dfs-solutions.com/,(250) 549-1787,info@dfs-solutions.com
DHANRAJ COMPUTER HARDWARE & SOFTWARE SOLUTIONS INC,https://dhanrajcomputer.com/,(236) 565-3155,support@dhanrajcomputer.com
Digg'n 4U Contracting Ltd,https://www.diggn4u.ca/,250-766-3519,info@diggn4u.ca
Dirt Nerd Earthworks,https://www.dirtnerdearthworks.com,(236) 599-0616,info@dirtnerd.ca
District of Lake Country,https://bclca.com/about/,7783831037%20,office@bclca.com
Diversity Dance,https://www.diversitydanceandfitness.com/,(250) 307-8982,diversityvernon@gmail.com
Divya Sutra Plaza and Conference Centre,https://divyasutravernon.com/,(250) 542-3321,contact@thehotel.com
Do Some Good,https://www.dosomegood.ca/en-CA/home,(778) 760-1099,info@dosomegood.ca
Do The Okanagan,https://www.tourismvernon.com/about-vernon/contact-us,(250) 550-4466,info@tourismvernon.com
Dodds Auction,https://doddsauction.com/,(250) 545-3259,doddsauctionvernon@gmail.com
Dosa Crepe Cafe,https://dosacrepecafe.com/,7784750151,dosacrepecafe@gmail.com
Dr Jody Snook,https://vernonmsa.ca/,,support@vernonmsa.ca
Dr. Dwayne Ogasawara Corp,https://support.opencare.com/hc/en-us,(250) 542-2361,support@opencare.com
Dr. Gordon Davidson,https://vernonmorningstar.com/services/contact-us/,(250) 309-4252,editor@vernonmorningstar.com
Dr. Julian Sernik,https://doctorsernik.ca/,236-600-0276,admin@doctorsernik.ca
Dr. Kevin Preston,https://drkevinpreston.com/contact/,7784753748,info@drkevinpreston.com
Dr. Mark Loland,https://lolanddental.ca/,7784750154,reception@lolanddental.ca
Dr. Splawinksi/Croft Inc,https://www.dentistdirectorycanada.ca/contact-us/,(250) 545-1339,info@dentistdirectorycanada.ca
Dr.'s Office,https://clinicfinder.ca/contact/,2505031021,info@clinicfinder.ca
DuMoulin Boskovich LLP Lawyers,https://www.dubo.com/#contact,(778) 943-2077,info@dubo.com
Dutch's Campground,https://www.dutchscampground.com/contact,250-545-1023,dutchs.coldstream@gmail.com
Eagle Industries,https://eagleindustries.ca/pages/contact,(416) 553-2270,info@eagleindustries.ca
Earth Elements,https://www.earthelementsgiftshop.com/,(250) 540 4119,earthelementsgiftshop@gmail.com
Echo Lake Resort,https://echolakeresort.ca/,250-547-6434,info@echolakeresort.ca
ECOTECTURE,https://www.ecotecture.ca/,(250) 542-8085,hello@ecotecture.ca
Eimer Bros. Trucking,https://reimerbros.com/,250 546 8625,info@reimerbros.com
Electrolysis by Nicole,https://www.vernonelectrolysis.ca/,,info@vernonelectrolysis.ca
Elements Adventure Company,https://www.elementsadventures.com/contact/,250-308-8924,admin@elementsadventures.com
Elevate Day Spa & Hair Studio,https://www.elevatedayspa.ca/,(250) 517-8615,elevatedayspa@outlook.com
Elks Lodge Lodge #45,http://vernonelks.com/contact/,(250) 549-1883,vernonelks45@gmail.com
Ellison Provincial Park,https://bcparks.ca/contact/,250-766-7972,camping@campokanagan.ca
Elodies Playhouse Cafe,https://www.elodiesplayhouse.ca/,(778) 943-3003,info@elodiesplayhousecafe.ca
Enderby & District Arts Council,,(236) 586-6600,contact@enderbyartscouncil.org
Enderby & District Financial,https://www.trucooperativebank.ca/enderby-district-financial/personal,(250) 838-6841,wvilleneuve@valleyfirst.com
Enderby & District Food Bank Society,https://www.enderbyfoodbank.ca/contactus,(250) 309-2667,admin@enderbyfoodbank.ca
Enderby & District Recreation Services,https://www.enderbyrecreation.com/,(250) 838-2665,recreation@enderby.ca
Enderby & District Senior Citizens Complex Society,,,enderbyseniorcomplex@outlook.com
Enderby Curling Club,https://enderby.curling.io/contact,+12508386702,sandyeh8@gmail.com
Enderby Flowers & Gifts,https://www.enderbyflowershop.com/,(778) 443-5037,enderbyflowers@gmail.com
Enderby Jewellers,https://www.enderbyjewellers.com/verify.html?next=/contact-us/,(250) 838-7123,info@enderbyjewellers.com
Enduro Financial & Advisory,https://www.ainvest.com/,,support@ainvest.com
Equal People HR,https://www.equalpeople.ca/contact,(250) 575-3949,hello@equalpeople.ca
"Eric Hutton, RMT",https://erichuttonrmt.com/,2503063742,erichuttonrmt@gmail.com
Everton Ridge Homes Ltd,https://evertonridge.ca/contact/,(236) 426-0388,sales@evertonridge.ca
Experior Financial Group Kimberley Greenizan,https://kgreenizan.experiorfinancial.com/contact/,4039939961,kgreenizan@experiorfinancial.ca
Falconhurst Window Cleaning,https://www.falconhurst.pro/,604-308-5647,info@falconhurst.pro
Family First Optometry,https://familyfirstoptometry.ca/,(250) 541-9292,info@familyfirstoptometry.ca
Fearless Training Okanagan,https://www.fearlesstrainingokanagan.ca/,250-308-6916,fearlesstrainingokanagan@gmail.com
FH&P LAWYERS LLP,https://www.fhplawyers.com/,(778) 940-3480,info@fhplawyers.com
First Baptist Church,https://www.fbcarmstrong.org/,250 546 9598,office@fbcarmstrong.org
Fleur Seasons Designs,https://fleurseasonsdesigns.ca/,,fleurseasonsdesigns@yahoo.com
Floramaxx Technologies,https://www.floramaxx.ca/,778.754.6299,info@floramaxx.ca
FOREFRONT Immigration Services Inc,https://forefrontcanada.com/,(250) 550-4177,info@forefrontcanada.com
Frank's Autobody Repair - CSN,https://csncollision.com/,(250) 545-6906,info@csncollision.com
Freechild Farm,https://www.freechildfarm.com/,250 307 4581,freechildfarm@gmail.com
Freedom Counselling,https://www.freedomcounselling.com/contact,250-550-5482,info@freedomcounselling.com
Freedom Flight Park,,,freedomflightpark@gmail.com
Fresh Valley Farms,https://freshvalleyfarms.ca/contact/,250 540 7500,events@freshvalleyfarms.ca
Frog Friendly Coffee (Enderbeans),https://frogfriendlycoffee.com/,(250) 838-0181,karla@frogfriendlycoffee.com
Funtastic Sports Society,https://funtasticsports.ca/,(250) 558-7756,office@funtastic.org
Galaxie Powder Coating,https://galaxiepowdercoating.ca/,1-250-547-6779,galaxiepowdercoating@gmail.com
Gallery Artiva,https://www.galleryartiva.com/,250-307-0675,galleryartiva@gmail.com
Gallery Vertigo,https://galleryvertigo.com/contact-us/,(250) 503-2297,galleryvertigonoaa@gmail.com
Gambell Farms,https://www.tourismkelowna.com/contact/,250.861.1515,info@tourismkelowna.com
Gambrinus Malting Corporation,https://gambrinusmalting.com/,250 546 8911,info@gambrinusmalting.com
Gennyleigh's Hairstyling & Esthetics,,(250) 804-9733,genny.leigh_2016@yahoo.com
Gentleman's Shop and Shave Parlour,https://www.thegentlemensshopandshaveparlour.com/,(236) 426-4575,gentlemensshaveparlour@gmail.com
Gilbert Parts Depot,https://gilbertparts.ca/auto-parts-armstrong,250 546 3137,admin@gilbertparts.ca
Glamping,https://www.okeeferanch.ca/contact-us,250 542 7868,admin@okeeferanch.ca
Gord Oh's Food,https://www.southshuswapchamber.com/,(250) 575-7058,manager@southshuswapchamber.com
Gostlin Keefer Lake Lodge,https://keeferlakelodge.com/,250-547-6750,info@keeferlakelodge.com
Green Guard Eco-Scapes,https://greenguardeco-scapes.ca/,(250) 306-7735,info@greenguardeco-scapes.ca
Guided Heart Home Care,,(250) 309-0730,info@guidedhearthomecare.ca
H.M. Krause Jewellers,https://www.krausejewellers.ca/,(250) 542-1911,info@krausejewellers.ca
Habitat for Humanity Okanagan,https://www.habitatforhumanityokanagan.ca/contact/,(778) 755-4346,admin@hfhokanagan.ca
Happi Dani (Tea Sommelier),https://www.happidani.com/contact,604 355 6186,hello@happidani.com
Harmony Holistic Health,https://harmonyholistichealth.janeapp.com/,(778) 846-4049,ruthszerepirmt@gmail.com
Hawthorne Storage,https://hawthornestorage.ca/,250 546 4015,mail@hawthornestorage.ca
Healing Garden Spa & Wellness,https://www.healinggardenvernon.ca/,(778) 475-8686,info@healinggardenvernon.ca
Health and Medical Services,https://lumbyhealthcentre.org/contact-us/,1-250-547-9741,lumbyhealthcentre@shaw.ca
HearingLife,https://www.hearinglife.ca/,(250) 542-3564,info@hearinglife.ca
Heaton Place Retirement Community,http://www.heatonplace.com/contact,250 546 3353,info@heatonplace.com
Hewberry Alarms Ltd,https://www.hewberryalarms.ca/,(778) 475-4320,hewberryoffice@gmail.com
Hill Environmental Ltd,https://hillenvironmental.ca/contact/,(250) 546-4069,info@hillenvironmental.ca
Hillview Golf Course,https://www.hillviewgolf.ca/contact/,(250) 549-4653,info@hillviewgolf.ca
Hogarths Clinic Pharmacy,https://www.hogarths.ca/,(250) 545-3660,info@hogarths.ca
Holiday Park RV & Condo Resort,https://sweetlife.com/contact/,250-215-5239,reservations@holidaypark.ca
Holmes Electric Ltd,https://www.holmesonohms.com/contact-us/,+12508615557,diane@holmeselectric.ca
Horizon Auto Detailing,https://www.horizonautodetailing.ca/,(780) 236-4359,info@horizonautodetailing.ca
Horse Drawn Okanagan,https://www.pilotfarmandforge.com/,250 540 7344,info@pilotfarmandforge.com
Hugo's Moving,https://www.hugosmoving.com/,(778) 475-1763,info@hugosmoving.com
Hunger Payne's Food Truck,https://hungerpaynesfoodtruck.com/,(403) 968-7087,hungerpaynes@icloud.com
Hunter Exteriors,https://hunterexteriors.ca/,(250) 306-6638,hunterexteriorsvernon@gmail.com
Huska Holdings,https://www.huskaholdings.ca/,(250) 762-4028,admin@huskaholdings.ca
IA Private Wealth,https://www.mindsetwealth.com/,778-475-0088,reception@mindsetwealth.com
IG Wealth Management,https://www.newvernonwealth.com/,,info@nv-wm.com
Imperical Counselling & Coaching,https://www.wisebodycounselling.com/,+1-778-400-4984,margob52@telus.net
Independent Living Vernon,https://www.ilvernon.ca/index.php,"250-545-9292, TTY 250-542-2193",info@ilvernon.ca
Inspire Consignment Boutique,https://www.inspireconsignment.com/,(604) 790-2798,inspireboutiquevernon@gmail.com
Interior Freight & Bottle Depot,https://www.interiorrecycling.com/,(250) 545-5706,info@interiorrecycling.com
Interior Heavy Equipment School,https://iheschool.com/,1-866-399-3853,info@iheschool.com
Iron Creek Industries,https://ironcreekindustries.ca/,250 546 3081,office@ironcreekindustries.ca
J-Ball Electronics Inc.,https://jballelectronics.com/,(778) 475-5528,info@jballelectronics.com
J-DON Japanese Donburi,http://www.jdoncafe.com/contact.html,,info@jdoncafe.com
Jade Asian Kitchen,https://jadeasiankitchen.com/,2369968828,info@jadeasiankitchen.com
James Weir Immigration,https://www.liveincanadanow.net/,(250) 938-4480,jweirimmigration@gmail.com
JC Bradley Jewellers,https://jcbradleyjewellers.com/,(236) 426-4944,info@jcbradleyjewellers.com
JCI-Junior Chamber International Vernon,https://www.jcivernon.com/,(250) 549-7199,commuincations.jcivernon@gmail.com
Jealous Pizza N Donair,https://jealouspizza.com/,778 442 0022,jealouspizzaarmstrong@gmail.com
Jim's Place Pizza,https://jimsplacepizza.com/,250-549-3700,jimsplacepizza@gmail.com
Jj's Pizza Plus Ltd,http://jjspizzaplus.com/,250 546 3333,info@jjspizzaplus.com
Johnston Meier Insurance Agencies Group,,(250) 838-7333,lynne.holmes@jmins.com
Jonnie & Lily's Diner,https://jonnieandlilysdiner.com,778 442 3373,info@jonnieandlilysdiner.com
Joy Hair Salon,https://joysalon.ca/contact-us/,778 932 2223,contact@joysalon.ca
JTL Contracting,,1-250-503-8091,jtlcont@gmail.com
Just For You Spa & Salon,https://www.justforyouspaandsalon.ca/contact-us,(250) 549-2488,info@justforyouspaandsalon.ca
Kalamalka Eagle Feather Security Corp,https://kalamalkaefsecurity.com/,(778) 215-7266,admin@kalamalkaefsecurity.com
Kalamalka Eye Care,https://kalamalkaeyecare.ca/,(778) 475-2015,reception@kalamalkaeyecare.ca
Kalamalka Indigenous Garden,https://www.kalamalkagarden.ca/,,info@kalamalkagarden.ca
Kalamalka Starfish Society,https://starfishpack.com/contact/,(250) 558-8366,admin@chilliwackbowlsofhope.com
Kapiti Built Ltd,https://www.kapitibuilt.ca/,1+250+869+7212,info@kapitibuilt.ca
Kcw Construction,https://kcwconstruction.ca/,1 778 212 2240,info@kcwconstruction.ca
Keith Dahlen Construction Ltd,http://keithconstruction.ca/contact/,(250) 545-1300,info@keithconstruction.ca
Kekuli Bay Cabinetry,https://kekulibaycabinetry.com/,(250) 558-5112,sales@kekulibaycabinetry.com
Kelli Hanson,https://www.kellihansoncounselling.com/,250-351-6487,kellihansoncounselling@gmail.com
Kelowna-Lake Country Conservatives,https://interior-news.com/services/contact-us/,250-877-5600,sales@interior-news.com
Kentucky Fried Chicken 1874,https://www.hospitalityonline.com/contact,(250) 545-0741,sales@hospitalityonline.com
Kerkhoff Real Estate Development Ltd,http://www.kerkhoff.ca/contact/,(604) 824-4122,info@kerkhoff.ca
Keystone Property Management Ltd,https://keystone.pm/,(250) 550-4543,office@keystone.pm
Kidston Helm Ross Lawyers,https://www.kidston.ca/,(250) 545-0711,info@kidston.ca
Kiki Gardens,https://www.kikigardens.com/contact/,(250) 545-2757,info@kikigardens.com
Kindale Developmental Association,https://www.kindale.net/,(250) 546-3005,kindale@kindale.net
KingFisher Boats,https://kingfisherboats.com/contact-us/,(250) 545-9171,admin@kingfisherboats.com
Kiwi Auto,https://www.kiwiauto.ca/,(250) 542-1425,kiwiautovernon@gmail.com
Krafty Bikes,https://kraftybikes.com/pages/rentals,1-877-491-2554,info@kraftybikes.com
Krispy Cravings,https://www.krispycravings.com/,778-943-1053,info@krispycravings.com
Kula Rigging and Crane,,1-250-308-9424,ben@krcrane.ca
La Carraia Gelato,https://www.lacarraiavernon.com/contact-us/,2505501908,lacarraia.bc@gmail.com
LabelPak Printing Inc,https://www.labelpakprinting.com/,(604) 943-1588,sales@labelpakprinting.com
Lake City Law Corporation,https://www.lakecitylaw.ca/contact,(250) 800-1077,admin@lakecitylaw.ca
Lake Country ArtWalk,https://www.lakecountryartwalk.ca/,250-766-4406,info@lakecountryartwalk.ca
Lake Country Auto,https://lakecountryauto.ca/,123-456-7890,contact@mysite.com
Lake Country Kids,https://lakecountrydance.ca/,2507664502,info@lakecountryschoolofdance.com
Lake Country Pest Control,https://gopropestcontrol.com/,250-215-5243,info@gopropestcontrol.com
Lake Country Self Storage,https://www.lakecountrystorage.ca/contact-us,2507662430,info@lakecountrystorage.ca
Lake Country Senior Housing Society,https://www.volunteerconnector.org/contact-us,1 (888) 688-2161,info@volunteerconnector.org
Lake Country Truss Ltd,https://lakecountrytruss.ca/,(250) 558-1423,info@lakecountrytruss.ca
Lake Life Pontoon Cruises,https://lakelifepontooncruises.ca/,+17789772628,info@lakelifepontooncruises.ca
Lakeland Excavating,https://lakeviewequip.com/,+12508014847,kyle@lakeviewequip.com
Lakeside Hearing,https://lakesidehearing.com/contact/,+12364200294,info@lakesidehearing.com
Landing Nursery Ltd,https://www.landingnurseryltd.ca/contact,,office@landingnurseryltd.ca
LaserArt Engraving,,1-250-859-8624,laserartengraving1@gmail.com
LC Legend Capital Inc,https://www.lclegendcapital.ca/contact-us,(250) 241-3636,info@lclegendcapital.ca
LDR Construction,https://ldrconstruction.com/,(250) 307-8562,info@ldrconstruction.com
Lensmakers Optical,https://www.lensmakersoptical.ca/contact/,(250) 545-3225,lensmakersvernon@gmail.com
Lesia Design & Digital Inc,https://www.lesiadesign.com/,(306) 371-6637,info@lesiadesign.com
Let's Talk Communication,https://www.letstalkcommunication.ca/,(778) 836-8173,info@letstalkcommunication.ca
LINQ Flooring,https://linqflooring.com/,(250) 281-1116,sales@linqflooring.com
Literacy Society of the North Okanagan,https://www.literacysociety.ca/,(250) 275-3117,admin@literacysociety.ca
Little Miracles Preschool,https://littlemiraclespreschool.ca/,(250) 503-2220,hello@divi.edu
Little Seedlings Daycare,https://littleseedlingsdaycare.ca/contact-us/,250 546 3600,littleseedlings21@gmail.com
LNH Equipment LTD,https://www.lnhequipmentltd.com/contact-us.html,1-250-206-0217,lnhequipmentltd@gmail.com
Loewen Drywall LTD,https://www.loewendrywall.com/,1-250-308-9233,info@loewendrywall.com
Lotus Counselling,https://visibook.com/,(250) 550-4505,hello@visibook.com
Lumby & District Museum,https://www.rdno.ca/contact-us,1-250-547-9524,lumbymuseum@gmail.com
Lumby Curling Club,https://lumbycurlingclub.ca/,,info@lumbycurlingclub.ca
Mabel Lake Farms,,(250) 838-6248,mabellakefarms@gmail.com
Mabel Lake Golf & Airpark,,(250) 308-8277,blairlaursen@mabellakegolf.com
