Name,Phone,Email
Carlie Patterson - Hair Stylist,(778) 821-2139,contact@tryhair.ai
Carousel Consignments,(250) 542-2677,carouselconsignmentsokemos@gmail.com
Carr Calvin Royal LePage,(250) 260-8133,info@barbaracarr.ca
Casabella Hair Studio,(250) 838-2237,info@casabella.ee
Castle On The Mountain B&B,(250) 542-4593,info@castleonthemountain.com
Cathy's Epicure Business,(250) 546-6344,info@vernonwellnessfair.com
Caufields Engraving,(250) 542-6293,orders@caufieldsengraving.com
Cedar Solutions & Millworks,(250) 838-0899,nic@cedarsolutions.ca
Cento wear,(250) 542-5484,info@centowear.ca
Central Animal Hospital,(250) 549-0402,reception@centralahvernon.com
Central Okanagan Economic Development Commission (COEDC),(250) 469-6280,info@investkelowna.com
Chapman Industries Ltd,(250) 549-2907,info@chapmanindustries.ca
Chapman Mechanical,(250) 545-9040,admin@chapmanmechanical.ca
Cheeky Tones,(250) 838-2120,cheekytonesltd@hotmail.com
Chelsea Kramer Notary Corp,(236) 600-2929,info@cknotary.ca
Cherkowski Marsden LLP,(250) 308-0338,info@cmlawyers.ca
Chris' Automotive,(250) 547-1456,admin@chrisautomotive.ca
City Furniture,(833) 822-9306,mail@cityfurniturecanada.com
City of Enderby,(250) 838-7230,info@cityofenderby.com
Clark Robinson Chartered Professional Accountants,(250) 545-7264,info@clarkrobinson.com
Co-operators,(877) 545-2667,client_service_support@cooperators.ca
Cobbler's Rack,,cobblersrack@gmail.com
Cobbs,(250) 260-3733,info@cobbsadventurepark.com
CoCoMelon Learning,(587) 914-0425,admin@cocomelonlearning.com
Cody Watson - Centum Casa Noble,(250) 275-3255,info@nobelcasa.com
Coldstream Mechanical,(250) 558-9134,info@coldstreammech.com
Colibrico Consulting,(604) 760-2542,info@colibrico.co
Comfort Suites,(800) 424-6423,ccarlson@hotelequities.com
Community Appliance Parts & Service,(778) 475-3004,info@geniers.com
Community Foundation of North Okanagan,(250) 542-8677,info@cfno.org
Concentric Electric & Controls Ltd.,(250) 212-5557,info@concentriccontrols.ca
Concept Physiotherapy,(250) 260-1550,reception@conceptphysiotherapy.com
Corbilt Welding & Fabrication Ltd - AJ Equipment Installations Ltd,(250) 838-0848,info@corbilt.com
Courtview Dental,(250) 549-3070,reception@courtviewdental.ca
Courtyard Gallery,(778) 443-0529,info@courtyardgallery.ca
Courtyard Inn Vernon,(250) 549-1211,info@courtyardinnvernon.ca
Cozy Cabins Nature Resort,(250) 547-6201,info@cozycabins.ca
Craftsman Collision,(604) 904-8886,info@craftsmancollision.com
Crave Massage,(250) 545-3600,cravemassagevernon@gmail.com
Creative Chaos Society,(250) 545-6963,info@creativechaoscrafts.com
Creative Trophies & Gifts,(250) 860-1153,sales@creativetrophies.ca
Creekside Dynamic Health,(250) 545-7107,info@creeksidevernon.ca
Crepe Bistro,(778) 955-5075,info@crepebistro.ca
Cross Health,(250) 241-9671,crosshealthtcm@gmail.com
"Crystal Clear Water Ltd (Plumbing, Gas & Drain C leaning)",(778) 384-1047,admin@crystalclearwaterpl.ca
Crystal Flaman,(250) 215-2903,info@crystalflaman.com
Csek Creative,(250) 862-8010,info@csekcreative.com
"CUPE 626, Vernon Civic Employees Union",(250) 545-0446,president@cupelocal626.com
Cutting Edge Building Services Ltd,(250) 546-9414,info@cehockey.ca
Cypress Guest House,(250) 503-2300,info@cypressguesthouse.com
Damini Physiotherapy & Sports Injury,(250) 545-2335,info@daminiphysio.ca
Dan-Gare Drilling Ltd,(250) 546-3480,info@dangare.ca
Danley Carriage And Wheel,(250) 546-9979,info@caaonline.com
Dauncey Construction Ltd,(236) 600-0659,info@daunceyconstruction.ca
Dave Kennedy Construction,(250) 546-8256,info@rbkennedy.com
De Thomas Wealth Management,(236) 426-3111,info@dethomaswealth.com
Decorworld Paint & Window Covering,,info@benjaminmoore.com
Dee Lake Wilderness Resort,(778) 738-0345,info@deelakeresort.ca
DEEM Health + Fitness,(250) 541-0411,info@deemhealth.ca
Deep Creek Veterinary Services Ltd,(250) 833-8585,deepcreekvet@gmail.com
Del Rayo Haro Tax & Professional Services Corp,(604) 910-4900,info@delrayotax.ca
Designers Gallery 2025,(250) 542-5955,info@okdg.ca
Destination Silver Star,(250) 275-4942,info@destinationsilverstar.com
DFS Executive Resources Inc,(250) 549-1787,info@dfs-solutions.com
DHANRAJ COMPUTER HARDWARE & SOFTWARE SOLUTIONS INC,(236) 565-3155,support@dhanrajcomputer.com
Digg'n 4U Contracting Ltd,(250) 766-3519,info@diggn4u.ca
Dirt Nerd Earthworks,(236) 599-0616,info@dirtnerd.ca
District of Lake Country,7783831037%20,office@bclca.com
Diversity Dance,(250) 307-8982,diversityvernon@gmail.com
Divya Sutra Plaza and Conference Centre,(250) 542-3321,contact@thehotel.com
Do Some Good,(778) 760-1099,info@dosomegood.ca
Do The Okanagan,(250) 550-4466,info@tourismvernon.com
Dodds Auction,(250) 545-3259,doddsauctionvernon@gmail.com
Dosa Crepe Cafe,(778) 475-0151,dosacrepecafe@gmail.com
Dr Jody Snook,,support@vernonmsa.ca
Dr. Dwayne Ogasawara Corp,(250) 542-2361,support@opencare.com
Dr. Gordon Davidson,(250) 309-4252,editor@vernonmorningstar.com
Dr. Julian Sernik,(236) 600-0276,admin@doctorsernik.ca
Dr. Kevin Preston,(778) 475-3748,info@drkevinpreston.com
Dr. Mark Loland,(778) 475-0154,reception@lolanddental.ca
Dr. Splawinksi/Croft Inc,(250) 545-1339,info@dentistdirectorycanada.ca
Dr.'s Office,(250) 503-1021,info@clinicfinder.ca
DuMoulin Boskovich LLP Lawyers,(778) 943-2077,info@dubo.com
Dutch's Campground,(250) 545-1023,dutchs.coldstream@gmail.com
Eagle Industries,(416) 553-2270,info@eagleindustries.ca
Earth Elements,(250) 540-4119,earthelementsgiftshop@gmail.com
Eat Good Market Deli - Pineapple Express Bistro,(250) 307-7036,eatgoodmarket0@gmail.com
Echo Lake Resort,(250) 547-6434,info@echolakeresort.ca
ECOTECTURE,(250) 542-8085,hello@ecotecture.ca
Edge Photography,(250) 309-2444,contact@kelownaphoto.ca
Edward J Woolley Law Corp,(250) 542-9944,reception@woolleylaw.ca
Eimer Bros. Trucking,(250) 546-8625,info@reimerbros.com
Electrolysis by Nicole,,info@vernonelectrolysis.ca
Elements Adventure Company,(250) 308-8924,admin@elementsadventures.com
Elevate Day Spa & Hair Studio,(250) 517-8615,elevatedayspa@outlook.com
"Elke's Landscape Design, Coaching & Consulting",(250) 808-1896,elkeshomepage@gmail.com
Elks Lodge Lodge #45,(250) 549-1883,vernonelks45@gmail.com
Ellison Provincial Park,(250) 766-7972,camping@campokanagan.ca
Elodies Playhouse Cafe,(778) 943-3003,info@elodiesplayhousecafe.ca
Enco Construction Ltd,(250) 766-4278,info@encoconstruction.ca
Enderby & District Arts Council,(236) 586-6600,contact@enderbyartscouncil.org
Enderby & District Financial,(250) 838-6841,wvilleneuve@valleyfirst.com
Enderby & District Food Bank Society,(250) 309-2667,admin@enderbyfoodbank.ca
Enderby & District Recreation Services,(250) 838-2665,recreation@enderby.ca
Enderby & District Senior Citizens Complex Society,,enderbyseniorcomplex@outlook.com
Enderby Curling Club,(250) 838-6702,sandyeh8@gmail.com
Enderby Dental Centre,(250) 803-5046,enderbydentalcentre@gmail.com
Enderby Flowers & Gifts,(778) 443-5037,enderbyflowers@gmail.com
Enderby Jewellers,(250) 838-7123,info@enderbyjewellers.com
Enduro Financial & Advisory,,support@ainvest.com
Enns & Co,(604) 434-5800,info@enns.ca
Equal People HR,(250) 575-3949,hello@equalpeople.ca
"Eric Hutton, RMT",(250) 306-3742,erichuttonrmt@gmail.com
Erika Laramore - Mortgages (Dominion Lending),(250) 306-4519,info@dominionmortgagepros.ca
Everton Ridge Homes Ltd,(236) 426-0388,sales@evertonridge.ca
Evident New Media,,info@evidentnewmedia.com
Executive Maintenance,(250) 308-6280,service@autologiq.ca
Experior Financial Group Kimberley Greenizan,(403) 993-9961,kgreenizan@experiorfinancial.ca
Falconhurst Window Cleaning,(604) 308-5647,info@falconhurst.pro
Family First Optometry,(250) 541-9292,info@familyfirstoptometry.ca
Fearless Training Okanagan,(250) 308-6916,fearlesstrainingokanagan@gmail.com
FH&P LAWYERS LLP,(778) 940-3480,info@fhplawyers.com
First Baptist Church,(250) 546-9598,office@fbcarmstrong.org
Fleur Seasons Designs,,fleurseasonsdesigns@yahoo.com
Floramaxx Technologies,(778) 754-6299,info@floramaxx.ca
FOREFRONT Immigration Services Inc,(250) 550-4177,info@forefrontcanada.com
Forge Electric Ltd.,(604) 828-5932,info@forgeelectric.ca
Forge Valley Storage,(250) 545-2373,hello@forgevalleystorage.com
Foster Janitorial Services,(250) 307-8979,contact@fosterjanitorial.com
Frank's Autobody Repair - CSN,(250) 545-6906,info@csncollision.com
Freechild Farm,(250) 307-4581,freechildfarm@gmail.com
Freedom Counselling,(250) 550-5482,info@freedomcounselling.com
Freedom Flight Park,,freedomflightpark@gmail.com
Fresh Valley Farms,(250) 540-7500,events@freshvalleyfarms.ca
Frog Friendly Coffee (Enderbeans),(250) 838-0181,karla@frogfriendlycoffee.com
Funtastic Sports Society,(250) 558-7756,office@funtastic.org
Galaxie Powder Coating,(250) 547-6779,galaxiepowdercoating@gmail.com
Gallery Artiva,(250) 307-0675,galleryartiva@gmail.com
Gallery Vertigo,(250) 503-2297,galleryvertigonoaa@gmail.com
Gambell Farms,(250) 861-1515,info@tourismkelowna.com
Gambrinus Malting Corporation,(250) 546-8911,info@gambrinusmalting.com
Gardner Wayne Sundance Realty Group,(250) 558-9516,support@realtycalendar.ru
Gaudette Alan M,(236) 600-2879,info@gaudettefamilylaw.ca
GEM Quality Homes,(250) 308-6390,hello@gemqualityhomes.ca
Gennyleigh's Hairstyling & Esthetics,(250) 804-9733,genny.leigh_2016@yahoo.com
Gentleman's Shop and Shave Parlour,(236) 426-4575,gentlemensshaveparlour@gmail.com
Gilbert Parts Depot,(250) 546-3137,admin@gilbertparts.ca
Glamping,(250) 542-7868,admin@okeeferanch.ca
GOGO Sushi,(778) 480-1600,turtlebaygogosushi@gmail.com
Gord Oh's Food,(250) 575-7058,manager@southshuswapchamber.com
Gostlin Keefer Lake Lodge,(250) 547-6750,info@keeferlakelodge.com
Gravity Physiotherapy,(250) 540-4903,derek@gravityphysiotherapy.com
Greek House Restaurant,(250) 766-0367,greekhouse@telus.net
Green Guard Eco-Scapes,(250) 306-7735,info@greenguardeco-scapes.ca
Grey Fox Brewery,(250) 763-3212,sales@kelownacapnews.com
Guided Heart Home Care,(250) 309-0730,info@guidedhearthomecare.ca
H A O Goodair Heating & Air Conditioning,(250) 545-6662,info@haogoodair.ca
H.M. Krause Jewellers,(250) 542-1911,info@krausejewellers.ca
Habitat for Humanity Okanagan,(778) 755-4346,admin@hfhokanagan.ca
Hairitage House Salon,,hhsalon701@gmail.com
Hands On Health Chiropractic,(250) 503-2906,info@handsonhealthvernon.ca
Happi Dani (Tea Sommelier),(604) 355-6186,hello@happidani.com
Harmony Holistic Health,(778) 846-4049,ruthszerepirmt@gmail.com
Harrison Andrea,,support@beenverified.com
Hawthorne Storage,(250) 546-4015,mail@hawthornestorage.ca
Healing Garden Spa & Wellness,(778) 475-8686,info@healinggardenvernon.ca
Health and Medical Services,(250) 547-9741,lumbyhealthcentre@shaw.ca
HearingLife,(250) 542-3564,info@hearinglife.ca
Heartwood Homes Ltd,(250) 542-0098,info@heartwoodvernon.com
Heaton Place Retirement Community,(250) 546-3353,info@heatonplace.com
Henry Czerwonka - Chartered Professional Accountant,(250) 309-5710,info@showmelocal.com
Hewberry Alarms Ltd,(778) 475-4320,hewberryoffice@gmail.com
Hill Environmental Ltd,(250) 546-4069,info@hillenvironmental.ca
Hillview Golf Course,(250) 549-4653,info@hillviewgolf.ca
Hogarths Clinic Pharmacy,(250) 545-3660,info@hogarths.ca
Holiday Park RV & Condo Resort,(250) 215-5239,reservations@holidaypark.ca
Holmes Electric Ltd,(250) 861-5557,diane@holmeselectric.ca
Hometown Cleaning Services,(250) 503-7102,hometownhousecleaners@gmail.com
Horizon Auto Detailing,(780) 236-4359,info@horizonautodetailing.ca
Horse Drawn Okanagan,(250) 540-7344,info@pilotfarmandforge.com
Hugo's Moving,(778) 475-1763,info@hugosmoving.com
Hunger Payne's Food Truck,(403) 968-7087,hungerpaynes@icloud.com
Hunter Exteriors,(250) 306-6638,hunterexteriorsvernon@gmail.com
Huska Holdings,(250) 762-4028,admin@huskaholdings.ca
I Can See Clearly Now Window Cleaning,(250) 838-0713,icanseeclearlynowgc@gmail.com
I Q Film & Vinyl Specialists Ltd,(250) 260-0908,frontdesk@iqfilm.ca
IA Private Wealth,(778) 475-0088,reception@mindsetwealth.com
Ice Cream,,sugarbeesicecreamco@gmail.com
Idlewild Massage Therapy,(250) 308-2487,info@idlewildhealth.ca
IG Wealth Management,,info@nv-wm.com
Image Electric Ltd,(250) 275-8725,info@imageelectric.ca
Impact Sport & Health Clinic,(250) 309-4184,impactsportclinic@gmail.com
Imperical Counselling & Coaching,(778) 400-4984,margob52@telus.net
Independent Living Vernon,,info@ilvernon.ca
Inspire Consignment Boutique,(604) 790-2798,inspireboutiquevernon@gmail.com
Integrity Mortgage Inc,(250) 546-6140,team@integritymortgage.ca
Interior Freight & Bottle Depot,(250) 545-5706,info@interiorrecycling.com
Interior Heavy Equipment School,(866) 399-3853,info@iheschool.com
"Interior Transmission ""Plus"" Auto Repair",(250) 545-9579,info@interiortransmission.com
Iron Creek Industries,(250) 546-3081,office@ironcreekindustries.ca
J-Ball Electronics Inc.,(778) 475-5528,info@jballelectronics.com
J-DON Japanese Donburi,,info@jdoncafe.com
Jade Asian Kitchen,(236) 996-8828,info@jadeasiankitchen.com
"Jade Bay , Design. Construct.",(250) 548-3262,office@jadebayconstructors.ca
James Weir Immigration,(250) 938-4480,jweirimmigration@gmail.com
JBenedict Cleaning Services,(250) 409-9299,info@jbenedictcleaningservices.ca
Jbez Welding,(778) 930-1272,jbezwelding@gmail.com
JC Bradley Jewellers,(236) 426-4944,info@jcbradleyjewellers.com
JCI-Junior Chamber International Vernon,(250) 549-7199,commuincations.jcivernon@gmail.com
Jealous Fruits,(250) 766-0738,info@jealousfruits.com
Jealous Pizza N Donair,(778) 442-0022,jealouspizzaarmstrong@gmail.com
Jessica Nicole Studio,(250) 542-0888,support@jessicanicolestudio.com
Jim's Place Pizza,(250) 549-3700,jimsplacepizza@gmail.com
Jj's Pizza Plus Ltd,(250) 546-3333,info@jjspizzaplus.com
Johnston Meier Insurance Agencies Group,(250) 838-7333,lynne.holmes@jmins.com
Jonnie & Lily's Diner,(778) 442-3373,info@jonnieandlilysdiner.com
Joy Hair Salon,(778) 932-2223,contact@joysalon.ca
JTL Contracting,(250) 503-8091,jtlcont@gmail.com
Juan M O'Quinn,,internationalaccounts@cbu.ca
Just For You Spa & Salon,(250) 549-2488,info@justforyouspaandsalon.ca
K&K Builders,(403) 369-7056,sales@pioneerloghomesofbc.com
Kalagan Outdoor Design,(250) 306-9449,info@kalaganoutdoordesign.com
Kalamalka Eagle Feather Security Corp,(778) 215-7266,admin@kalamalkaefsecurity.com
Kalamalka Eye Care,(778) 475-2015,reception@kalamalkaeyecare.ca
Kalamalka Indigenous Garden,,info@kalamalkagarden.ca
Kalamalka Physiotherapy Centre,(250) 503-2112,kalamalkaphysiotherapy@gmail.com
Kalamalka Starfish Society,(250) 558-8366,admin@chilliwackbowlsofhope.com
Kapiti Built Ltd,(250) 869-7212,info@kapitibuilt.ca
Kcw Construction,(778) 212-2240,info@kcwconstruction.ca
Keith Dahlen Construction Ltd,(250) 545-1300,info@keithconstruction.ca
Kekuli Bay Cabinetry,(250) 558-5112,sales@kekulibaycabinetry.com
Kelli Hanson,(250) 351-6487,kellihansoncounselling@gmail.com
Kelowna-Lake Country Conservatives,(250) 877-5600,sales@interior-news.com
Kentucky Fried Chicken 1874,(250) 545-0741,sales@hospitalityonline.com
Kerkhoff Real Estate Development Ltd,(604) 824-4122,info@kerkhoff.ca
Keylight Photography,(250) 306-2517,info@keylightphotography.ca
Keystone Property Management Ltd,(250) 550-4543,office@keystone.pm
Kidston Helm Ross Lawyers,(250) 545-0711,info@kidston.ca
Kiki Gardens,(250) 545-2757,info@kikigardens.com
Kindale Developmental Association,(250) 546-3005,kindale@kindale.net
KingFisher Boats,(250) 545-9171,admin@kingfisherboats.com
Kits & Kats Sitting Service,(250) 545-9668,kitsandkatssittingservice@gmail.com
Kiwi Auto,(250) 542-1425,kiwiautovernon@gmail.com
Krafty Bikes,(877) 491-2554,info@kraftybikes.com
Krispy Cravings,(778) 943-1053,info@krispycravings.com
Kt Fairglass Ltd,(778) 760-8382,info@ktfairglass.com
Kula Rigging and Crane,(250) 308-9424,ben@krcrane.ca
L'Isola Bella Bistro,(250) 766-7625,info@lisolabella.ca
La Carraia Gelato,(250) 550-1908,lacarraia.bc@gmail.com
LabelPak Printing Inc,(604) 943-1588,sales@labelpakprinting.com
Lake City Law Corporation,(250) 800-1077,admin@lakecitylaw.ca
Lake Country ArtWalk,(250) 766-4406,info@lakecountryartwalk.ca
Lake Country Auto,123-456-7890,contact@mysite.com
Lake Country Brewing,(604) 273-9379,info@bbco.ca
Lake Country Builder Mart Ltd,(250) 766-2118,steve.donaldson@timbermart.ca
Lake Country Jewellers,(778) 480-0088,lakecountryjewellers@gmail.com
Lake Country Kids,(250) 766-4502,info@lakecountryschoolofdance.com
Lake Country Landscaping,(250) 317-5773,lakecountrylandscaping456@gmail.com
Lake Country Pest Control,(250) 215-5243,info@gopropestcontrol.com
Lake Country Self Storage,(250) 766-2430,info@lakecountrystorage.ca
Lake Country Senior Housing Society,(888) 688-2161,info@volunteerconnector.org
Lake Country Truss Ltd,(250) 558-1423,info@lakecountrytruss.ca
Lake Life Pontoon Cruises,(778) 977-2628,info@lakelifepontooncruises.ca
Lake Okanagan Resort,(250) 769-3511,info@lakeokanagan.com
Lakeland Excavating,(250) 801-4847,kyle@lakeviewequip.com
Lakers Clubhouse DGC,,info@mypacer.com
Lakeside Hearing,(236) 420-0294,info@lakesidehearing.com
Lakeside Landscaping Prop,(250) 862-6109,info@lakesidelandscaping.ca
Lakeview Glass,(250) 300-8014,sales@lakeviewglassbc.com
Landing Nursery Ltd,,office@landingnurseryltd.ca
LaserArt Engraving,(250) 859-8624,laserartengraving1@gmail.com
LC Legend Capital Inc,(250) 241-3636,info@lclegendcapital.ca
LDR Construction,(250) 307-8562,info@ldrconstruction.com
Lensmakers Optical,(250) 545-3225,lensmakersvernon@gmail.com
Lesia Design & Digital Inc,(306) 371-6637,info@lesiadesign.com
Let Us Garden Sales & Services,(250) 540-6591,info@greenlii.com
Let's Talk Communication,(778) 836-8173,info@letstalkcommunication.ca
Lihilihi Lashes,(236) 426-4600,info@lihilihilashes.ca
LINQ Flooring,(250) 281-1116,sales@linqflooring.com
Literacy Society of the North Okanagan,(250) 275-3117,admin@literacysociety.ca
Little Blue House Registered Massage Therapy,(778) 212-5980,littlebluehousermt@gmail.com
Little Miracles Preschool,(250) 503-2220,hello@divi.edu
Little Moments Learning Centre,(250) 307-9003,info@little-moments.ca
Little Seedlings Daycare,(250) 546-3600,littleseedlings21@gmail.com
LNH Equipment LTD,(250) 206-0217,lnhequipmentltd@gmail.com
Loewen Drywall LTD,(250) 308-9233,info@loewendrywall.com
Lotus And Lace Esthetics,(250) 801-1133,sales@wellnessliving.com
Lotus Counselling,(250) 550-4505,hello@visibook.com
Lumby & District Museum,(250) 547-9524,lumbymuseum@gmail.com
Lumby Curling Club,,info@lumbycurlingclub.ca
