business_name,contact_page_url,main_public_phone,general_public_email
Agar Schneider & Lett,https://www.cpavernon.ca/,(250) 545-7117,admin@cpavernon.ca
Ahhhh Thai Massage,https://www.jaidee.ca/,778-866-9663,info@jaidee.ca
Air Design Heating & Cooling Ltd.,https://airdesignheating.com/,250-306-0142,office@airdesignheating.com
Alesha Bradley Registered Massage Therapist,https://www.aleshabradleyrmt.ca/,250-307-3433,info@aleshabradleyrmt.ca
Alexander's Pub and Liquor Store,https://alexanderspubliquorstore.shop/,,alexanderspubliquorstore.shop@gmail.com
All About Youth Consultants,https://evlppl.com/,,hello@evlppl.com
All Pro Tree & Landscaping Services,https://www.allprotree.ca/,250-549-4555,contact@allprotree.ca
All Terrain Construction,https://www.all-terrain.ca/,250 558 8782,allterrainhaner@gmail.com
Allan Brooks Nature Centre,https://abnc.ca/,(250) 260-4227,events@abnc.ca
Alpha Vapes,https://alphavapes.ca/about/,778 392 8307,alphavapes.bc@gmail.com
Alpine Spa Covers,https://alpinespacovers.com/,250-545-7779,info@alpinespacovers.com
Altha Health & Sport,https://althahealth.janeapp.com/#staff_member/1,250 546 5159,drpaulinet.altha@gmail.com
Amplified Cafe,https://www.amplifiedcafe.com/,250-545-1001,info@amplifiedcafe.com
Anchor Peak Bookkeeping,https://www.cbinsights.com/contact-us/,,info@cbinsights.com
Ancient Hill Estate Winery,http://ancienthillwinery.com/contact-us,250-491-2766,info@ancienthillwinery.com
Anderson Vacations,https://www.andersonvacation.com/contact,778-475-8261,bookings@andersonvacations.ca
Angel Acres Country Store,https://nourishfoodclub.com/,(250) 996-1801,support@nourishfoodclub.com
Angelkeys Music Studio,https://www.angelkeys.ca/,(250) 305-4784,support@mymusicstaff.com
Angus River Earthworks,https://www.findglocal.com/contact,1-250-309-4666,angusriverearthworks@outlook.com
Anna's Vitamins Plus,https://www.annasvitaminsplus.com/,2502601147,info@annasvitaminsplus.com
Anton Bill TMG Realty,https://www.billantonstudio.com/contact,250-309-3255,billantonstudio@truevine.net
Apple Valley Auto,https://www.avauto.com/,250-542-2331,shop@avauto.com
Applewood Plumbing & Heating,https://www.applewoodheating.net/contact-us,250-549-4777,info@applewoodheating.net
Ardene,https://ardene.com/en-ca,1-877-606-4233,support@ardene.com
Armstrong Asparagus Farm,https://armstrongfarmco.com/contact/,,admin@armstrongfarmco.com
Armstrong Craneguy,,(250) 996-3239,craneguy56@gmail.com
Armstrong Dental Centre,https://armstrongdentalcentre.com/,250 546 9811,reception@armstrongsmiles.com
Armstrong Farmers Market,https://www.armstrongfarmersmarket.ca/,250 307 8336,info@armstrongfarmersmarket.ca
Armstrong Lions Club,https://e-clubhouse.org/sites/armstrong/,705 676 6410,armstronglions.sec@gmail.com
Armstrong Optometry,https://www.armstrongoptometry.com/contact-us/,250 546 2020,info@armstrongoptometry.com
Armstrong Pride Society,https://www.armstrongpride.ca/,250 251 8826,info@armstrongpride.ca
Armstrong Registered Massage Therapy,https://www.armstrongmassage.ca/,250 878 0409,info@armstrongmassage.ca
Armstrong Return-It Depot,https://www.return-it.ca/contact/,250 546 2466,brandregistry@returnit.ca
Armstrong Spallumcheen Cemetery,https://www.cityofarmstrong.bc.ca/contact/,250 546 3013,mail@spallumcheentwp.bc.ca
Armstrong Spallumcheen Environmental Trust,https://mycharityfund.ca/charity/62113/armstrong-spallumcheen,250 546 6377,info@mycharityfund.ca
Armstrong Spallumcheen Trails Society,https://www.astrailssociety.com/about/,250 241 2255,astrailssociety@gmail.com
Armstrong Veterinary Clinic,https://armstrongveterinaryclinic.com/,250-546-9506,reception@armstrongveterinaryclinic.com
Armstrong Wine And Brew Ltd,http://armstrongwineandbrew.com/,250 546 6954,info@armstrongwineandbrew.com
Ash & Oak Salon,https://www.ashandoakvernon.com/,250-541-0223,ashandoaksalon@gmail.com
Ashton Oasis Farm,https://canic.ws/,(250) 838-2655,ashton.oasis@gmail.com
Askews Foods,https://www.askewsfoods.com/contact-us,250 546 3039,info@askewsfoods.com
Aspect Dental,https://aspect.dental/,(250) 545-4466,reception@aspect.dental
Aspen Landscaping Ltd,https://aspenlandscaping.ca/,250-317-7773,info@aspenlandscaping.ca
Associated Environmental,https://www.ae.ca/contact/,,inquiries@ae.ca
Attivo Health,https://attivohealth.ca/,778-475-3600,attivohealthvernon@gmail.com
B.Weightman Construction,https://www.weightmanconstruction.com/contact-us,1-931-246-0910,bweightman@outlook.com
Back Nine Indoor Golf,https://backninegolf.ca/contact?_b9redir=1,236-361-7888,infoca@thebackninegolf.com
Back To Earth,https://getbacktoearth.com/,778-475-2226,admin@getbacktoearth.com
Baird Brothers,https://www.bairdbros.ca/,(250) 838-6430,bairdbros.ca@gmail.com
Barrique & Java,https://www.sparklinghill.com/contact/,250-275-1556,reservations@sparklinghill.com
BC Pilates Health Hub Ltd,https://bcpilateshealthhub.janeapp.com/,2505410612,thepilateshealthhub@gmail.com
BDC Vernon,https://www.cdap-vernon.ca/,,info@cdap-vernon.ca
BDM Tire Service Ltd,https://tsbc.ca/contact-us/,778-474-9008,contact@tsbc.ca
Beach Radio 107.5,https://radio.menu/,(250) 545-2141,contact@radio.menu
Beachcomber Home Leisure,https://bhleisure.com/pages/contact,250-542-3399,info@bhleisure.com
Bean Around The World Coffee,https://batwcoffee.com/,,support@batwcoffee.com
Bean To Cup,https://www.beantocup.com/,250-503-2222,beantocup@gmail.com
Bear Paw Earthworks,https://www.bearpawearthworks.ca/contact/,250-545-9899,info@bearpawearthworks.ca
Bear Valley Highlands,https://bearvalleyhighlands.com/,778-373-5684,info@bearvalleyhighlands.com
Beaumont Mortgage Group,https://dreyergroup.ca/contact,+1-604-536-3802,neil@neilbeaumont.ca
Beaver Lake Mountain Resort,https://www.beaverlakeresort.com/,250-762-2225,info@beaverlakeresort.com
Beelineweb.com,https://www.beelineweb.com/contact,+1-866-766-2589,info@beelineweb.com
Beem Credit Union,https://beemcreditunion.ca/contact,(250) 545-1234,info@gfcu.com
Bertelsen Plumbing,,(250) 542-4153,office@bertelsenplumbing.com
Better Than Nature Indoor Garden Supply,https://pnwgardensupply.com/,604-588-4769,info@pnwgardensupply.com
Big Blue 4X4 Mobile Welding,https://www.codyswelding.ca/,250-766-3958,codyswelding06@gmail.com
Big Dipper Hot Tub Co.,https://www.bigdipperhottubs.ca/contact-us,250-306-1872,bigdipperhottubs@gmail.com
Bighorn Moving and Storage,https://www.bighornmoving.ca/,+12507661966,info@bighornmoving.ca
Black Fox,https://www.vagaro.com/en-ca/pro/contact,7782121973,support@vagaro.com
Black Isle Farms,https://www.castanet.net/contactus/,(250) 833-6459,letters@castanet.net
Blind Tiger Vineyards,https://blindtigervineyards.ca/,250-766-0622,hello@blindtigervineyards.ca
Bloom Salon,https://greencirclesalons.com/contact/,(250) 545-7800,info@greencirclesalons.com
Bloom Wellness Centre,https://bloomwellness.janeapp.com/,604-988-1411,hello@bloomwellness.com
Blue Grass Farm,https://bluegrassfarmbc.ca/,,hello@bluegrassfarmbc.ca
Blue Valley Painting,https://www.bluevalleypainting.com/,250-308-2413,info@bluevalleypainting.com
Bluebird Sport & Spine Physiotherapy,https://bluebirdsportandspine.janeapp.com/,,info@bluebirdsportandspine.ca
Bluegreen Architecture,https://www.bluegreenarchitecture.com/,7785064567,info@bluegreenarch.com
BNA Brewing,https://www.bnabrewing.com/bna-vernon,250-558-2635,info@bnabrewing.com
Boa Thong Thai Food Restaurant,https://boathong.ca/,(250) 542-1252,info@boathong.ca
Borrowman Electric,https://borrowman.ca/contact-us/,1-778-473-3004,sales@borrowman.ca
Boschtech Plumbing,,250-938-5878,boschtechplumbing@gmail.com
Bosman Accounting,https://www.bosmanaccounting.com/,(250) 542-2180,info@bosmanaccounting.com
Boys & Girls Club Okanagan),https://www.bgc.ca/contact-us,250 546 3465,office@bgc.ca
Bridlewood Riding Centre,https://bridlewoodriding.com/,2508620998,bridlewoodriding@gmail.com
Bright Angel Farm,http://www.brightangelfarm.com/,250-558-5552,brightangelfarm@gmail.com
Brown Mechanical Services,https://www.brown-mechanical.com/,(250) 545-4211,info@brown-mechanical.ca
Bugaboo Bakery,https://www.bugaboosbakerycafe.com/,+12505453208,bugabooscafe@gmail.com
Bun Tan Pho & Sushi,https://www.sushi-vernon.ca/,778-475-6191,sakurasushi.vernon@gmail.com
Burr Fabrication,https://burrfabrication.com/contact/,250 549 0581,burrfabrication@gmail.com
Burton Tree Service,,(250) 833-8705,james@burtontree.ca
Cabbana Indian Bistro,https://www.cabbanaindianbistro.com/,(778) 943-2080,info@mysite.com
Cactus Club Cafe - Vernon,https://www.provenexpert.com/en-us/,(778) 506-2494,support@provenexpert.com
Cal Pro Electrical Ltd,https://www.mcleanselectrical.com/,250-938-0380,info@mcleanselectrical.com
Cali Garden Landscaping,https://caligarden.ca/,236-599-0550,info@caligarden.ca
Cambium Cider Co,https://www.cambiumcider.com/,250-541-0655,hello@cambiumcider.com
Cambridge Building Products Ltd,https://centraltarp.ca/contact,(403) 354-1742,greg@cambridgebp.com
Camel's Hump Guest Ranch,,1-250-547-2207,camelshumpranch@gmail.com
Canadian 4X4,https://canadian4x4.ca/contact-us/,(250) 938-7007,cpzieman@gmail.com
Canadian Wildlife Museum & Gift Shop,https://canadianwildlifemuseum.com/,250-545-9740,info@canadianwildlifemuseum.com
CanHealth and Dental Plans Ltd,https://healthanddental.ca/,(250) 838-6848,casebrad@telus.net
Cardiff Miller Art Warehouse,https://cardiffmillerartwarehouse.ca/,,cmawenderby@gmail.com
Cardinal Vow Media,https://www.cardinalvow.com/,236 700 0808,hello@cardinalvow.com
Carisma Cleaning Services,https://anyclean.ca/,250-469-9035,hello@anyclean.ca
Carlie Patterson - Hair Stylist,https://tryhair.ai/,778-821-2139,contact@tryhair.ai
Carousel Consignments,https://www.carousel-consignments.com/contact-us,(250) 542-2677,carouselconsignmentsokemos@gmail.com
Carr Calvin Royal LePage,https://kelowna.pillartopost.com/,250-260-8133,info@barbaracarr.ca
Casabella Hair Studio,https://casabella.ee/,250-838-2237,info@casabella.ee
Castle On The Mountain B&B,https://www.castleonthemountain.com/,250-542-4593,info@castleonthemountain.com
Cathy's Epicure Business,https://vernonwellnessfair.com/Event/vernon,250-546-6344,info@vernonwellnessfair.com
Caufields Engraving,https://caufieldsengraving.com/,(250) 542-6293,orders@caufieldsengraving.com
Cedar Solutions & Millworks,https://www.cedarsolutions.ca/contact-us,(250)838-0899,nic@cedarsolutions.ca
Cento wear,https://www.centowear.com/,(250) 542-5484,info@centowear.ca
Central Animal Hospital,https://www.centralanimalhospital.ca/contact-us,250-549-0402,reception@centralahvernon.com
Central Okanagan Economic Development Commission (COEDC),https://www.investkelowna.com/contact-us/,12504696280,info@investkelowna.com
Chapman Industries Ltd,https://chapmanindustries.ca/,250 549 2907,info@chapmanindustries.ca
Chapman Mechanical,https://www.chapmanmechanical.ca/,250-545-9040,admin@chapmanmechanical.ca
Cheeky Tones,https://tanresponsibly.ca/#home-feedback,(250) 838-2120,cheekytonesltd@hotmail.com
Chelsea Kramer Notary Corp,http://cknotary.com/,236-600-2929,info@cknotary.ca
Cherkowski Marsden LLP,https://cmlawyers.ca/,(250) 308-0338,info@cmlawyers.ca
Chris' Automotive,http://chrisautomotive.ca/contact/,250-547-1456,admin@chrisautomotive.ca
City Furniture,https://www.cityfurniturecanada.com/,1 833 822 9306,mail@cityfurniturecanada.com
City of Enderby,https://www.cityofenderby.com/,(250) 838-7230,info@cityofenderby.com
Clark Robinson Chartered Professional Accountants,https://www.clarkrobinson.com/,(250) 545-7264,info@clarkrobinson.com
Co-operators,https://www.cooperators.ca/contact-us,1-877-545-2667,client_service_support@cooperators.ca
Cobbler's Rack,https://cobblersrack.com/,,cobblersrack@gmail.com
Cobbs,https://cobbsadventurepark.com/,+1-250-260-3733,info@cobbsadventurepark.com
CoCoMelon Learning,https://cocomelonlearning.com/,587-914-0425,admin@cocomelonlearning.com
Cody Watson - Centum Casa Noble,https://nobelcasa.com/,250-275-3255,info@nobelcasa.com
Coldstream Mechanical,https://coldstreammech.com/,(250) 558-9134,info@coldstreammech.com
Colibrico Consulting,https://www.colibrico.co/,604-760-2542,info@colibrico.co
Comfort Suites,https://socialads.comfortsuiteskelowna.com/contact.html,18004246423,ccarlson@hotelequities.com
Community Appliance Parts & Service,https://geniers.com/,(778) 475-3004,info@geniers.com
Community Foundation of North Okanagan,https://www.cfno.org/contact,(250) 542-8677,info@cfno.org
Concentric Electric & Controls Ltd.,https://www.concentriccontrols.ca/,250-212-5557,info@concentriccontrols.ca
Concept Physiotherapy,https://www.conceptphysiotherapy.com/contact,250-260-1550,reception@conceptphysiotherapy.com
Corbilt Welding & Fabrication Ltd - AJ Equipment Installations Ltd,http://corbilt.com/contact/,250-838-0848,info@corbilt.com
Courtview Dental,https://courtviewdental.ca/,2505493070,reception@courtviewdental.ca
Courtyard Gallery,https://courtyardgallery.ca,(778) 443-0529,info@courtyardgallery.ca
Courtyard Inn Vernon,https://courtyardinnvernon.ca/,(250) 549-1211,info@courtyardinnvernon.ca
Cozy Cabins Nature Resort,https://www.cozycabins.ca/contact/,1-250-547-6201,info@cozycabins.ca
Craftsman Collision,https://craftsmancollision.com/,6049048886,info@craftsmancollision.com
Crave Massage,https://cravemassage.ca/,(250) 545-3600,cravemassagevernon@gmail.com
Creative Chaos Society,https://www.creativechaoscrafts.com/contact-us/,(250) 545-6963,info@creativechaoscrafts.com
Creative Trophies & Gifts,https://creativetrophies.ca/,250-860-1153,sales@creativetrophies.ca
Creekside Dynamic Health,https://www.creeksidevernon.ca/,(250) 545-7107,info@creeksidevernon.ca
Crepe Bistro,https://www.crepebistro.ca/,(778) 955-5075,info@crepebistro.ca
Cross Health,https://crosshealth.ca/,(250) 241-9671,crosshealthtcm@gmail.com
"Crystal Clear Water Ltd (Plumbing, Gas & Drain C leaning)",https://www.crystalclearwaterpl.ca/,778-384-1047,admin@crystalclearwaterpl.ca
Crystal Flaman,https://crystalflaman.com/,(250) 215-2903,info@crystalflaman.com
Csek Creative,https://www.csekcreative.com/,250 862 8010,info@csekcreative.com
"CUPE 626, Vernon Civic Employees Union",https://626.cupe.ca/contact-us/,250-545-0446,president@cupelocal626.com
Cutting Edge Building Services Ltd,http://cehockey.ca/contact-us/,250-546-9414,info@cehockey.ca
Cypress Guest House,https://cypressguesthouse.com/contact.html,250-503-2300,info@cypressguesthouse.com
Damini Physiotherapy & Sports Injury,https://www.daminiphysio.ca/,(250) 545-2335,info@daminiphysio.ca
Dan-Gare Drilling Ltd,https://www.dangaredrilling.ca/,250 546 3480,info@dangare.ca
Danley Carriage And Wheel,https://www.carriageassociationofamerica.com/contact-us/,250 546 9979,info@caaonline.com
Dauncey Construction Ltd,https://www.daunceyconstruction.ca/,236-600-0659,info@daunceyconstruction.ca
Dave Kennedy Construction,https://rbkennedy.com/contact-us/contact-form-submitted/,250 546 8256,info@rbkennedy.com
De Thomas Wealth Management,https://www.dethomaswealthmanagement.com/contact,(236) 426-3111,info@dethomaswealth.com
Decorworld Paint & Window Covering,https://www.benjaminmoore.com/en-us/contact-us,,info@benjaminmoore.com
Dee Lake Wilderness Resort,https://www.deelakeresort.ca/,778-738-0345,info@deelakeresort.ca
DEEM Health + Fitness,https://www.deemhealth.ca/,(250) 541-0411,info@deemhealth.ca
Deep Creek Veterinary Services Ltd,https://www.deepcreekveterinary.com/,250-833-8585,deepcreekvet@gmail.com
Del Rayo Haro Tax & Professional Services Corp,https://delrayotax.ca/,(604) 910-4900,info@delrayotax.ca
Designers Gallery 2025,https://okdg.ca,(250) 542-5955,info@okdg.ca
Destination Silver Star,https://members.destinationsilverstar.com/,(250) 275-4942,info@destinationsilverstar.com
DFS Executive Resources Inc,https://dfs-solutions.com/,(250) 549-1787,info@dfs-solutions.com
DHANRAJ COMPUTER HARDWARE & SOFTWARE SOLUTIONS INC,https://dhanrajcomputer.com/,(236) 565-3155,support@dhanrajcomputer.com
Digg'n 4U Contracting Ltd,https://www.diggn4u.ca/,250-766-3519,info@diggn4u.ca
Dirt Nerd Earthworks,https://www.dirtnerdearthworks.com,(236) 599-0616,info@dirtnerd.ca
District of Lake Country,https://bclca.com/about/,7783831037%20,office@bclca.com
Diversity Dance,https://www.diversitydanceandfitness.com/,(250) 307-8982,diversityvernon@gmail.com
Divya Sutra Plaza and Conference Centre,https://divyasutravernon.com/,(250) 542-3321,contact@thehotel.com
Do Some Good,https://www.dosomegood.ca/en-CA/home,(778) 760-1099,info@dosomegood.ca
Do The Okanagan,https://www.tourismvernon.com/about-vernon/contact-us,(250) 550-4466,info@tourismvernon.com
Dodds Auction,https://doddsauction.com/,(250) 545-3259,doddsauctionvernon@gmail.com
Dosa Crepe Cafe,https://dosacrepecafe.com/,7784750151,dosacrepecafe@gmail.com
Dr Jody Snook,https://vernonmsa.ca/,,support@vernonmsa.ca
Dr. Dwayne Ogasawara Corp,https://support.opencare.com/hc/en-us,(250) 542-2361,support@opencare.com
Dr. Gordon Davidson,https://vernonmorningstar.com/services/contact-us/,(250) 309-4252,editor@vernonmorningstar.com
Dr. Julian Sernik,https://doctorsernik.ca/,236-600-0276,admin@doctorsernik.ca
Dr. Kevin Preston,https://drkevinpreston.com/contact/,7784753748,info@drkevinpreston.com
Dr. Mark Loland,https://lolanddental.ca/,7784750154,reception@lolanddental.ca
Dr. Splawinksi/Croft Inc,https://www.dentistdirectorycanada.ca/contact-us/,(250) 545-1339,info@dentistdirectorycanada.ca
Dr.'s Office,https://clinicfinder.ca/contact/,2505031021,info@clinicfinder.ca
DuMoulin Boskovich LLP Lawyers,https://www.dubo.com/#contact,(778) 943-2077,info@dubo.com
Dutch's Campground,https://www.dutchscampground.com/contact,250-545-1023,dutchs.coldstream@gmail.com
Eagle Industries,https://eagleindustries.ca/pages/contact,(416) 553-2270,info@eagleindustries.ca
Earth Elements,https://www.earthelementsgiftshop.com/,(250) 540 4119,earthelementsgiftshop@gmail.com
Eat Good Market Deli - Pineapple Express Bistro,https://www.happycow.net/contact,+1-250-307-7036,eatgoodmarket0@gmail.com
Echo Lake Resort,https://echolakeresort.ca/,250-547-6434,info@echolakeresort.ca
ECOTECTURE,https://www.ecotecture.ca/,(250) 542-8085,hello@ecotecture.ca
Edge Photography,https://kelownaphoto.ca/,250-309-2444,contact@kelownaphoto.ca
Edward J Woolley Law Corp,https://woolleylaw.ca/,250-542-9944,reception@woolleylaw.ca
Eimer Bros. Trucking,https://reimerbros.com/,250 546 8625,info@reimerbros.com
Electrolysis by Nicole,https://www.vernonelectrolysis.ca/,,info@vernonelectrolysis.ca
Elements Adventure Company,https://www.elementsadventures.com/contact/,250-308-8924,admin@elementsadventures.com
Elevate Day Spa & Hair Studio,https://www.elevatedayspa.ca/,(250) 517-8615,elevatedayspa@outlook.com
"Elke's Landscape Design, Coaching & Consulting",https://elkeslandscapedesign.ca/about-2/,250-808-1896,elkeshomepage@gmail.com
Elks Lodge Lodge #45,http://vernonelks.com/contact/,(250) 549-1883,vernonelks45@gmail.com
Ellison Provincial Park,https://bcparks.ca/contact/,250-766-7972,camping@campokanagan.ca
Elodies Playhouse Cafe,https://www.elodiesplayhouse.ca/,(778) 943-3003,info@elodiesplayhousecafe.ca
Enco Construction Ltd,https://encoconstruction.ca/,250-766-4278,info@encoconstruction.ca
Enderby & District Arts Council,,(236) 586-6600,contact@enderbyartscouncil.org
Enderby & District Financial,https://www.trucooperativebank.ca/enderby-district-financial/personal,(250) 838-6841,wvilleneuve@valleyfirst.com
Enderby & District Food Bank Society,https://www.enderbyfoodbank.ca/contactus,(250) 309-2667,admin@enderbyfoodbank.ca
Enderby & District Recreation Services,https://www.enderbyrecreation.com/,(250) 838-2665,recreation@enderby.ca
Enderby & District Senior Citizens Complex Society,,,enderbyseniorcomplex@outlook.com
Enderby Curling Club,https://enderby.curling.io/contact,+12508386702,sandyeh8@gmail.com
Enderby Dental Centre,https://www.enderbydentalcentre.ca/,250-803-5046,enderbydentalcentre@gmail.com
Enderby Flowers & Gifts,https://www.enderbyflowershop.com/,(778) 443-5037,enderbyflowers@gmail.com
Enderby Jewellers,https://www.enderbyjewellers.com/verify.html?next=/contact-us/,(250) 838-7123,info@enderbyjewellers.com
Enduro Financial & Advisory,https://www.ainvest.com/,,support@ainvest.com
Enns & Co,https://www.ennsco.com/,604-434-5800,info@enns.ca
Equal People HR,https://www.equalpeople.ca/contact,(250) 575-3949,hello@equalpeople.ca
"Eric Hutton, RMT",https://erichuttonrmt.com/,2503063742,erichuttonrmt@gmail.com
Erika Laramore - Mortgages (Dominion Lending),https://dominionmortgagepros.ca/contact/,250-306-4519,info@dominionmortgagepros.ca
Everton Ridge Homes Ltd,https://evertonridge.ca/contact/,(236) 426-0388,sales@evertonridge.ca
Evident New Media,http://evidentnewmedia.com/,,info@evidentnewmedia.com
Executive Maintenance,https://www.autologiq.ca/contact-us/,250-308-6280,service@autologiq.ca
Experior Financial Group Kimberley Greenizan,https://kgreenizan.experiorfinancial.com/contact/,4039939961,kgreenizan@experiorfinancial.ca
Falconhurst Window Cleaning,https://www.falconhurst.pro/,604-308-5647,info@falconhurst.pro
Family First Optometry,https://familyfirstoptometry.ca/,(250) 541-9292,info@familyfirstoptometry.ca
Fearless Training Okanagan,https://www.fearlesstrainingokanagan.ca/,250-308-6916,fearlesstrainingokanagan@gmail.com
FH&P LAWYERS LLP,https://www.fhplawyers.com/,(778) 940-3480,info@fhplawyers.com
First Baptist Church,https://www.fbcarmstrong.org/,250 546 9598,office@fbcarmstrong.org
Fleur Seasons Designs,https://fleurseasonsdesigns.ca/,,fleurseasonsdesigns@yahoo.com
Floramaxx Technologies,https://www.floramaxx.ca/,778.754.6299,info@floramaxx.ca
FOREFRONT Immigration Services Inc,https://forefrontcanada.com/,(250) 550-4177,info@forefrontcanada.com
Forge Electric Ltd.,https://www.forgeelectric.ca/,604-828-5932,info@forgeelectric.ca
Forge Valley Storage,https://www.forgevalleystorage.com/,2505452373,hello@forgevalleystorage.com
Foster Janitorial Services,http://fosterjanitorial.com/quote-contact/,250-307-8979,contact@fosterjanitorial.com
Frank's Autobody Repair - CSN,https://csncollision.com/,(250) 545-6906,info@csncollision.com
Freechild Farm,https://www.freechildfarm.com/,250 307 4581,freechildfarm@gmail.com
Freedom Counselling,https://www.freedomcounselling.com/contact,250-550-5482,info@freedomcounselling.com
Freedom Flight Park,,,freedomflightpark@gmail.com
Fresh Valley Farms,https://freshvalleyfarms.ca/contact/,250 540 7500,events@freshvalleyfarms.ca
Frog Friendly Coffee (Enderbeans),https://frogfriendlycoffee.com/,(250) 838-0181,karla@frogfriendlycoffee.com
Funtastic Sports Society,https://funtasticsports.ca/,(250) 558-7756,office@funtastic.org
Galaxie Powder Coating,https://galaxiepowdercoating.ca/,1-250-547-6779,galaxiepowdercoating@gmail.com
Gallery Artiva,https://www.galleryartiva.com/,250-307-0675,galleryartiva@gmail.com
Gallery Vertigo,https://galleryvertigo.com/contact-us/,(250) 503-2297,galleryvertigonoaa@gmail.com
Gambell Farms,https://www.tourismkelowna.com/contact/,250.861.1515,info@tourismkelowna.com
Gambrinus Malting Corporation,https://gambrinusmalting.com/,250 546 8911,info@gambrinusmalting.com
Gardner Wayne Sundance Realty Group,https://new.realtycalendar.ru/,250-558-9516,support@realtycalendar.ru
Gaudette Alan M,https://www.gaudettefamilylaw.ca/contact-us,236-600-2879,info@gaudettefamilylaw.ca
GEM Quality Homes,https://gemqualityhomes.ca/,250-308-6390,hello@gemqualityhomes.ca
Gennyleigh's Hairstyling & Esthetics,,(250) 804-9733,genny.leigh_2016@yahoo.com
Gentleman's Shop and Shave Parlour,https://www.thegentlemensshopandshaveparlour.com/,(236) 426-4575,gentlemensshaveparlour@gmail.com
Gilbert Parts Depot,https://gilbertparts.ca/auto-parts-armstrong,250 546 3137,admin@gilbertparts.ca
Glamping,https://www.okeeferanch.ca/contact-us,250 542 7868,admin@okeeferanch.ca
GOGO Sushi,https://www.turtlebaygogosushi.ca/contact,(778) 480-1600,turtlebaygogosushi@gmail.com
Gord Oh's Food,https://www.southshuswapchamber.com/,(250) 575-7058,manager@southshuswapchamber.com
Gostlin Keefer Lake Lodge,https://keeferlakelodge.com/,250-547-6750,info@keeferlakelodge.com
Gravity Physiotherapy,https://www.gravityphysiotherapy.com/,250-540-4903,derek@gravityphysiotherapy.com
Greek House Restaurant,http://www.greekhouserestaurant.ca/,+1-250-766-0367,greekhouse@telus.net
Green Guard Eco-Scapes,https://greenguardeco-scapes.ca/,(250) 306-7735,info@greenguardeco-scapes.ca
Grey Fox Brewery,https://kelownacapnews.com/services/contact-us/,250-763-3212,sales@kelownacapnews.com
Guided Heart Home Care,,(250) 309-0730,info@guidedhearthomecare.ca
H A O Goodair Heating & Air Conditioning,https://haogoodair.ca/,250-545-6662,info@haogoodair.ca
H.M. Krause Jewellers,https://www.krausejewellers.ca/,(250) 542-1911,info@krausejewellers.ca
Habitat for Humanity Okanagan,https://www.habitatforhumanityokanagan.ca/contact/,(778) 755-4346,admin@hfhokanagan.ca
Hairitage House Salon,https://www.hairitagehousesalon.com/,,hhsalon701@gmail.com
Hands On Health Chiropractic,https://handsonhealthvernon.ca/,250-503-2906,info@handsonhealthvernon.ca
Happi Dani (Tea Sommelier),https://www.happidani.com/contact,604 355 6186,hello@happidani.com
Harmony Holistic Health,https://harmonyholistichealth.janeapp.com/,(778) 846-4049,ruthszerepirmt@gmail.com
Harrison Andrea,https://www.beenverified.com/contact/,,support@beenverified.com
Hawthorne Storage,https://hawthornestorage.ca/,250 546 4015,mail@hawthornestorage.ca
Healing Garden Spa & Wellness,https://www.healinggardenvernon.ca/,(778) 475-8686,info@healinggardenvernon.ca
Health and Medical Services,https://lumbyhealthcentre.org/contact-us/,1-250-547-9741,lumbyhealthcentre@shaw.ca
